Series name,Institution/meaning
MOF,Metal Organic Framework (O. Yaghi)
IRMOF,Iso-Reticular MOF (O. Yaghi)
ZIF,Zeolitic Imidazolate Framework (O. Yaghi)
PCN,Porous Coordination Network (H.-C. Zhou)
HKUST,Hong Kong University of Science and Technology
SBMOF,Stony Brook University MOF
UiO,Universitetet i Oslo
CPO,Coordination Polymer Oslo 
MIL,Materials Institute Lavoisier
UTSA,University of Texas at San Antonio
NU,Northwestern University
BUT,Beijing University of Technology
UMCM,University of Michigan Crystalline Material
NOTT,University of Nottingham
